gene_symbol,Degree,Betweenness,Closeness
PTGS2,30,0.08741670389208384,0.6883116883116883
IL6,30,0.08167439427972802,0.6973684210526315
ESR1,28,0.09813008044707351,0.6794871794871795
EGFR,25,0.05843439337230494,0.6385542168674698
TP53,24,0.06853441523322565,0.5955056179775281
NR3C1,22,0.04016823784721184,0.6309523809523809
MAOA,21,0.053995926592686226,0.6091954022988506
SLC6A4,21,0.05726166690239374,0.6091954022988506
DRD2,20,0.05592934066280776,0.6022727272727273
GSK3B,20,0.02476470720359765,0.6022727272727273
MAPK14,18,0.008078401246403744,0.5463917525773195
IL10,18,0.011394463417847141,0.5638297872340425
SLC6A2,17,0.022845292390604285,0.5638297872340425
PRKCA,17,0.027750546326969685,0.5638297872340425
ADRB2,17,0.03893422012750531,0.5888888888888889
DRD1,16,0.02144308659596184,0.53
OPRM1,16,0.05244991409402356,0.5824175824175825
MAOB,16,0.028320309832826653,0.5638297872340425
MTOR,15,0.002439017206706778,0.5247524752475248
ADRA2A,15,0.018604036884161,0.5353535353535354
CDK2,14,0.019868829865157138,0.5520833333333334
CRP,13,0.005696576161830122,0.5145631067961165
PTGS1,13,0.012100181073891733,0.5353535353535354
PGR,13,0.0015561409626441494,0.5196078431372549
IL2,13,0.00371322993619855,0.5247524752475248
CAV1,13,0.01232026605866194,0.5247524752475248
ADRA2C,13,0.01647787905056982,0.53
